434,89838,1177,79528,29708,502,257,57,122,56501,72,51854,78,53,64217,64270,56,64179,213985,23387,102,57799,40301,35555,57595,88,44569,39990,120,204247,57372,35592,52692,203099,23703,111453,200447,189,41,25,50,200,109878,37,34561,207,318,66,256,286,162590,162164,214607,222879,69653,121994,490,75,441,195462,169,51319,653,700,196,86281,645,51099,303,102,63114,32628,1288,1349,330,94666,12,881,1973,148,113,1842,25,126731,4009,1240,2728,95,2859,930,110,428,772,1039
2935,2931,57428,225,56,337,155,202111,201865,186,56782,69809,186,225738,27370,27208,64341,27219,55,34204,119,185,35744,57344,190,49,34822,35531,65,39763,112031,57429,43680,192,27,39638,39419,200628,98,284,23288,221,198455,198827,198181,123980,110264,22823,123321,210,354,122420,52490,376,58,65,68,456,498,153,108553,63,632,115,203,59179,197,205,591,12,89,76,94,3309,1397,45,30,1978,921,2035,432,2140,94060,49,1280,2875,273,463,478,94634,93,1400,4567,504
5478,377,156,91543,141,64,30039,448,43,199,182,24,56975,644,55464,55551,27129,55110,51945,36488,34,168,57722,189,218,218264,36772,57367,11,62,187,185,33,414,35183,244,35293,53,39269,300,34180,109824,39024,241,55688,140,51810,34098,254,263,122390,298,70597,430,38,271,382,368,101,114,63734,42763,18872,18510,213931,103188,480,250,274,1653,52,70,772,454,4075,99438,54540,42771,2068,1881,3008,72,98739,56002,46935,1249,2390,2771,2467,101610,51685,303573,1422,2949
221,5205,3593,3091,166,18616,559,52,58,128,115,38,302,606,92080,90,55327,10,69906,201145,65035,111,198,168,114,52950,46,203,203813,35745,194,113,76,58270,37028,35584,57065,21,35252,110497,12,199544,34690,38840,257,212,93,36040,90,74,284,289,59,107971,73,80,392,388,59,95,46,87,608,717,179,198,219,565,256,101340,134,83,89,4279,723,31860,81924,480,18932,843,156208,103,31744,83148,287417,4199,1218,2377,1207,991,29,4311,520,119
426,2964,150,464,1003,387,333989,358,38996,106,94,42,526,108249,67673,92251,92233,91970,50,26,27913,97,170,111389,108,71326,202403,190,39844,57252,89,108,80,300367,27,57344,256,230,56786,52025,36260,39040,55927,33,60,199092,42732,62,12,38868,258,197395,39,39,22648,57,161313,160683,446,63647,106,81,200,92,403,135,60,155,355,2413,218696,35496,3499,4828,4611,105091,66,184,49,52,124,18878,105107,52,314795,409,2822,1283,2860,36,55,47018,116435,334
28594,217,79661,2903,187,50,598,121,214,99,64253,45,278,51882,49,67504,67411,67753,52,159,56124,65436,26,112,65370,83,640,109,35666,216,125,112,79,648,138,213,84,39048,204,43309,18,216,205,211,109287,38953,51,292687,38658,34629,42,38700,48,51057,33758,28,67,44,420,27172,27005,95,70,814,401,199,103318,87138,206648,1448,229,183,896,1407,454,57411,104,2091,79,52,293353,63457,56758,51340,2912,366,1314,289,3954,56,182,426,213087,2657
1899,63242,89814,210,65594,430,79979,370,34720,42,27147,22960,107501,42869,224974,36,50,46,42,301,93846,27902,84,115,112596,45,98,89,57168,208,40,65107,218000,394,203931,153,30,35132,228,70,56,34752,200,34608,223,109770,115,199248,199240,56103,197693,109330,23186,42723,35583,195774,295,312,160800,55370,55275,46,655,619,3577,362,61705,60403,631,153362,121,80,127,45758,46137,204073,50787,995,118,58,1922,42405,79248,73,43374,46982,3903,3797,433,21,111,288645,1000,1349
757,348,212,5235,126,280,150,903,56308,64450,55355,32,578,144,606,224503,224827,67,43,538,68774,56212,65537,118,27888,53,181,65167,195,145,139,27735,52980,39,240,135,234,177,155,85,199807,117,161,55996,194,34595,44,260,34459,97,109742,34272,34129,133,78,38070,121802,121164,321,91331,91781,212213,155,591,3642,216,448,81,46920,177794,47,135,625,532,284666,25,66,149,63775,124,2062,185,202357,117,381,472,43433,2786,4309,36,81,315459,91,2961
267,28115,3102,355,174539,158661,156,25825,199,26943,92548,33959,24,138,664,28,600,224681,22761,57337,33,93788,126,65604,56471,23,384,27851,166,65056,125,56184,71447,110043,301799,65068,33,56695,110531,215360,295417,56237,96,177,148,55889,127,743,55914,274,297,275,36210,170,56,34356,296,297,121000,67914,67299,52002,159228,154806,86766,213039,21932,103599,62084,2247,266,85,1429,284409,312273,80005,242,289177,922,46,897,892,30123,70,2901,287958,4193,424,315,508532,223,3139,739,4187
322177,791,228,28795,131,259,61,468,114,55517,67755,35872,159893,31,109414,582,107769,622,33616,91,228687,68939,27903,27830,93880,13,57904,56258,138,114,64941,93863,49,684,58483,27656,160,110546,64425,102,237,214,141,152,63369,227,90,518,43,199417,38928,55516,22,156,195304,325,215,31,240,108428,52,69773,484,122,432,176,50395,215,287,951,2467,74,2977,313858,474,23,99,1843,1951,18907,51,2049,51505,60,158983,315393,47302,4199,1371,96468,49,495,526,541
